,user_id,uuid,timestamp,type,value,perceived_personalization,emotional_trust,trust_in_competence,intention_to_use,usefulness,overall_satisfaction,providing_information
0,demo_2_1_2,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-04 12:41:01,final_ranking_survey,"{'perceived_personalization': 5, 'emotional_trust': 5, 'trust_in_competence': 7, 'intention_to_use': 6, 'usefulness': 6, 'overall_satisfaction': 6, 'providing_information': 6}",5,5,7,6,6,6,6
1,demo_3_1_4,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-04 18:21:20,final_ranking_survey,"{'perceived_personalization': 7, 'emotional_trust': 5, 'trust_in_competence': 6, 'intention_to_use': 5, 'usefulness': 6, 'overall_satisfaction': 6, 'providing_information': 6}",7,5,6,5,6,6,6
2,user_2_0_0,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-04 21:24:22,final_ranking_survey,"{'perceived_personalization': 3, 'emotional_trust': 3, 'trust_in_competence': 5, 'intention_to_use': 3, 'usefulness': 2, 'overall_satisfaction': 3, 'providing_information': 5}",3,3,5,3,2,3,5
3,user_2_2_3,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-04 22:48:25,final_ranking_survey,"{'perceived_personalization': 5, 'emotional_trust': 4, 'trust_in_competence': 4, 'intention_to_use': 4, 'usefulness': 4, 'overall_satisfaction': 5, 'providing_information': 5}",5,4,4,4,4,5,5
4,user_1_1_1,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-04 23:06:30,final_ranking_survey,"{'perceived_personalization': 4, 'emotional_trust': 5, 'trust_in_competence': 6, 'intention_to_use': 4, 'usefulness': 4, 'overall_satisfaction': 5, 'providing_information': 6}",4,5,6,4,4,5,6
5,user_0_0_4,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-05 01:58:44,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 6, 'trust_in_competence': 6, 'intention_to_use': 6, 'usefulness': 6, 'overall_satisfaction': 6, 'providing_information': 6}",6,6,6,6,6,6,6
6,user_0_1_1,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-05 16:07:48,final_ranking_survey,"{'perceived_personalization': 7, 'emotional_trust': 7, 'trust_in_competence': 7, 'intention_to_use': 7, 'usefulness': 7, 'overall_satisfaction': 7, 'providing_information': 7}",7,7,7,7,7,7,7
7,demo_2_2_0,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-07 08:39:49,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 6, 'trust_in_competence': 7, 'intention_to_use': 7, 'usefulness': 7, 'overall_satisfaction': 7, 'providing_information': 7}",6,6,7,7,7,7,7
8,demo_1_0_2,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-08 16:30:42,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 5, 'trust_in_competence': 5, 'intention_to_use': 4, 'usefulness': 4, 'overall_satisfaction': 5, 'providing_information': 6}",6,5,5,4,4,5,6
9,demo_2_2_4,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-09 17:30:19,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 6, 'trust_in_competence': 5, 'intention_to_use': 7, 'usefulness': 7, 'overall_satisfaction': 7, 'providing_information': 6}",6,6,5,7,7,7,6
10,demo_3_0_1,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-10 20:21:18,final_ranking_survey,"{'perceived_personalization': 5, 'emotional_trust': 5, 'trust_in_competence': 7, 'intention_to_use': 6, 'usefulness': 5, 'overall_satisfaction': 5, 'providing_information': 6}",5,5,7,6,5,5,6
11,user_3_0_1,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-11 08:38:07,final_ranking_survey,"{'perceived_personalization': 4, 'emotional_trust': 4, 'trust_in_competence': 6, 'intention_to_use': 3, 'usefulness': 4, 'overall_satisfaction': 4, 'providing_information': 5}",4,4,6,3,4,4,5
12,user_3_0_4,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-12 02:48:52,final_ranking_survey,"{'perceived_personalization': 3, 'emotional_trust': 3, 'trust_in_competence': 5, 'intention_to_use': 3, 'usefulness': 4, 'overall_satisfaction': 3, 'providing_information': 6}",3,3,5,3,4,3,6
13,user_3_0_3,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-14 05:57:46,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 2, 'trust_in_competence': 2, 'intention_to_use': 5, 'usefulness': 2, 'overall_satisfaction': 2, 'providing_information': 4}",6,2,2,5,2,2,4
14,user_2_1_3,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-14 07:42:55,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 6, 'trust_in_competence': 7, 'intention_to_use': 6, 'usefulness': 6, 'overall_satisfaction': 6, 'providing_information': 6}",6,6,7,6,6,6,6
15,user_2_2_2,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-15 02:07:16,final_ranking_survey,"{'perceived_personalization': 5, 'emotional_trust': 4, 'trust_in_competence': 6, 'intention_to_use': 6, 'usefulness': 5, 'overall_satisfaction': 6, 'providing_information': 6}",5,4,6,6,5,6,6
16,user_3_0_0,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-15 05:12:11,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 6, 'trust_in_competence': 7, 'intention_to_use': 6, 'usefulness': 6, 'overall_satisfaction': 7, 'providing_information': 6}",6,6,7,6,6,7,6
17,user_1_1_1,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-25 17:46:56,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 5, 'trust_in_competence': 3, 'intention_to_use': 5, 'usefulness': 6, 'overall_satisfaction': 5, 'providing_information': 4}",6,5,3,5,6,5,4
18,user_0_2_0,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-26 00:56:37,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 5, 'trust_in_competence': 6, 'intention_to_use': 4, 'usefulness': 5, 'overall_satisfaction': 5, 'providing_information': 5}",6,5,6,4,5,5,5
19,user_2_0_2,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-26 16:13:47,final_ranking_survey,"{'perceived_personalization': 3, 'emotional_trust': 1, 'trust_in_competence': 4, 'intention_to_use': 1, 'usefulness': 2, 'overall_satisfaction': 1, 'providing_information': 2}",3,1,4,1,2,1,2
20,user_1_2_0,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-26 23:05:42,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 6, 'trust_in_competence': 6, 'intention_to_use': 6, 'usefulness': 6, 'overall_satisfaction': 6, 'providing_information': 6}",6,6,6,6,6,6,6
21,user_1_2_1,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-27 01:36:18,final_ranking_survey,"{'perceived_personalization': 7, 'emotional_trust': 6, 'trust_in_competence': 6, 'intention_to_use': 6, 'usefulness': 6, 'overall_satisfaction': 6, 'providing_information': 6}",7,6,6,6,6,6,6
22,user_0_2_2,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-27 14:57:09,final_ranking_survey,"{'perceived_personalization': 4, 'emotional_trust': 6, 'trust_in_competence': 5, 'intention_to_use': 4, 'usefulness': 5, 'overall_satisfaction': 6, 'providing_information': 6}",4,6,5,4,5,6,6
23,user_1_0_2,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-27 17:51:11,final_ranking_survey,"{'perceived_personalization': 7, 'emotional_trust': 6, 'trust_in_competence': 7, 'intention_to_use': 6, 'usefulness': 6, 'overall_satisfaction': 6, 'providing_information': 6}",7,6,7,6,6,6,6
24,user_1_0_3,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-27 22:14:14,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 5, 'trust_in_competence': 5, 'intention_to_use': 5, 'usefulness': 2, 'overall_satisfaction': 5, 'providing_information': 4}",6,5,5,5,2,5,4
25,user_0_0_4,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-28 01:57:32,final_ranking_survey,"{'perceived_personalization': 3, 'emotional_trust': 4, 'trust_in_competence': 2, 'intention_to_use': 3, 'usefulness': 3, 'overall_satisfaction': 3, 'providing_information': 4}",3,4,2,3,3,3,4
26,user_1_2_3,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-28 13:09:00,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 6, 'trust_in_competence': 7, 'intention_to_use': 6, 'usefulness': 6, 'overall_satisfaction': 6, 'providing_information': 7}",6,6,7,6,6,6,7
27,user_2_1_1,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-28 16:19:06,final_ranking_survey,"{'perceived_personalization': 5, 'emotional_trust': 5, 'trust_in_competence': 7, 'intention_to_use': 6, 'usefulness': 7, 'overall_satisfaction': 6, 'providing_information': 7}",5,5,7,6,7,6,7
28,user_2_0_3,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-28 16:33:38,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 4, 'trust_in_competence': 4, 'intention_to_use': 2, 'usefulness': 4, 'overall_satisfaction': 4, 'providing_information': 4}",6,4,4,2,4,4,4
29,user_0_0_2,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-28 16:51:35,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 5, 'trust_in_competence': 6, 'intention_to_use': 6, 'usefulness': 5, 'overall_satisfaction': 7, 'providing_information': 5}",6,5,6,6,5,7,5
30,user_3_0_0,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-28 20:11:15,final_ranking_survey,"{'perceived_personalization': 5, 'emotional_trust': 4, 'trust_in_competence': 3, 'intention_to_use': 4, 'usefulness': 5, 'overall_satisfaction': 4, 'providing_information': 3}",5,4,3,4,5,4,3
31,user_1_1_4,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-28 20:34:18,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 4, 'trust_in_competence': 5, 'intention_to_use': 5, 'usefulness': 6, 'overall_satisfaction': 5, 'providing_information': 6}",6,4,5,5,6,5,6
32,user_2_2_4,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-28 20:51:36,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 5, 'trust_in_competence': 7, 'intention_to_use': 6, 'usefulness': 7, 'overall_satisfaction': 6, 'providing_information': 7}",6,5,7,6,7,6,7
33,user_1_0_1,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-28 22:31:23,final_ranking_survey,"{'perceived_personalization': 3, 'emotional_trust': 3, 'trust_in_competence': 4, 'intention_to_use': 2, 'usefulness': 2, 'overall_satisfaction': 3, 'providing_information': 2}",3,3,4,2,2,3,2
34,user_2_0_4,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-29 12:02:52,final_ranking_survey,"{'perceived_personalization': 5, 'emotional_trust': 4, 'trust_in_competence': 5, 'intention_to_use': 6, 'usefulness': 5, 'overall_satisfaction': 6, 'providing_information': 5}",5,4,5,6,5,6,5
35,user_3_1_0,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-29 14:36:03,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 5, 'trust_in_competence': 7, 'intention_to_use': 4, 'usefulness': 6, 'overall_satisfaction': 6, 'providing_information': 6}",6,5,7,4,6,6,6
36,user_3_1_2,41ffe116-3ade-45a9-a7c3-c7fa26aa71c3,2024-10-29 17:59:02,final_ranking_survey,"{'perceived_personalization': 7, 'emotional_trust': 5, 'trust_in_competence': 6, 'intention_to_use': 5, 'usefulness': 5, 'overall_satisfaction': 5, 'providing_information': 6}",7,5,6,5,5,5,6
37,user_2_1_0,71a9e0d1-c6f7-4871-98b1-479928b160a1,2024-11-26 08:28:13,final_ranking_survey,"{'perceived_personalization': 7, 'emotional_trust': 6, 'trust_in_competence': 7, 'intention_to_use': 7, 'usefulness': 6, 'overall_satisfaction': 7, 'providing_information': 7}",7,6,7,7,6,7,7
38,user_1_0_4,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-10-29 20:32:11,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 3, 'trust_in_competence': 7, 'intention_to_use': 3, 'usefulness': 5, 'overall_satisfaction': 5, 'providing_information': 7}",6,3,7,3,5,5,7
39,user_2_2_3,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-10-30 01:25:20,final_ranking_survey,"{'perceived_personalization': 3, 'emotional_trust': 4, 'trust_in_competence': 5, 'intention_to_use': 5, 'usefulness': 4, 'overall_satisfaction': 4, 'providing_information': 3}",3,4,5,5,4,4,3
40,user_3_2_0,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-10-30 04:32:08,final_ranking_survey,"{'perceived_personalization': 5, 'emotional_trust': 7, 'trust_in_competence': 7, 'intention_to_use': 7, 'usefulness': 7, 'overall_satisfaction': 7, 'providing_information': 7}",5,7,7,7,7,7,7
41,user_3_2_1,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-10-30 08:50:10,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 6, 'trust_in_competence': 6, 'intention_to_use': 6, 'usefulness': 5, 'overall_satisfaction': 5, 'providing_information': 6}",6,6,6,6,5,5,6
42,user_3_2_3,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-10-30 11:51:57,final_ranking_survey,"{'perceived_personalization': 5, 'emotional_trust': 6, 'trust_in_competence': 7, 'intention_to_use': 7, 'usefulness': 6, 'overall_satisfaction': 6, 'providing_information': 6}",5,6,7,7,6,6,6
43,user_1_1_2,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-10-30 13:08:20,final_ranking_survey,"{'perceived_personalization': 7, 'emotional_trust': 6, 'trust_in_competence': 5, 'intention_to_use': 6, 'usefulness': 7, 'overall_satisfaction': 6, 'providing_information': 5}",7,6,5,6,7,6,5
44,user_3_2_2,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-10-30 13:17:42,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 4, 'trust_in_competence': 6, 'intention_to_use': 4, 'usefulness': 5, 'overall_satisfaction': 5, 'providing_information': 7}",6,4,6,4,5,5,7
45,user_1_2_4,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-10-30 14:10:37,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 4, 'trust_in_competence': 7, 'intention_to_use': 6, 'usefulness': 4, 'overall_satisfaction': 6, 'providing_information': 6}",6,4,7,6,4,6,6
46,demo_0_2_4,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-10-30 15:04:53,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 6, 'trust_in_competence': 5, 'intention_to_use': 6, 'usefulness': 7, 'overall_satisfaction': 5, 'providing_information': 6}",6,6,5,6,7,5,6
47,demo_1_2_2,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-10-30 17:12:46,final_ranking_survey,"{'perceived_personalization': 3, 'emotional_trust': 2, 'trust_in_competence': 5, 'intention_to_use': 4, 'usefulness': 4, 'overall_satisfaction': 3, 'providing_information': 3}",3,2,5,4,4,3,3
48,user_0_1_2,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-10-30 22:48:30,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 4, 'trust_in_competence': 7, 'intention_to_use': 6, 'usefulness': 6, 'overall_satisfaction': 7, 'providing_information': 7}",6,4,7,6,6,7,7
49,user_1_1_0,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-10-31 18:15:21,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 6, 'trust_in_competence': 7, 'intention_to_use': 7, 'usefulness': 7, 'overall_satisfaction': 7, 'providing_information': 7}",6,6,7,7,7,7,7
50,user_2_2_1,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-10-31 20:31:05,final_ranking_survey,"{'perceived_personalization': 5, 'emotional_trust': 7, 'trust_in_competence': 6, 'intention_to_use': 7, 'usefulness': 5, 'overall_satisfaction': 6, 'providing_information': 6}",5,7,6,7,5,6,6
51,demo_2_0_1,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-10-31 23:05:19,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 7, 'trust_in_competence': 7, 'intention_to_use': 7, 'usefulness': 5, 'overall_satisfaction': 5, 'providing_information': 7}",6,7,7,7,5,5,7
52,user_0_1_0,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-11-01 00:24:10,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 5, 'trust_in_competence': 5, 'intention_to_use': 5, 'usefulness': 5, 'overall_satisfaction': 6, 'providing_information': 4}",6,5,5,5,5,6,4
53,user_3_1_3,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-11-02 00:46:59,final_ranking_survey,"{'perceived_personalization': 5, 'emotional_trust': 5, 'trust_in_competence': 7, 'intention_to_use': 6, 'usefulness': 5, 'overall_satisfaction': 5, 'providing_information': 6}",5,5,7,6,5,5,6
54,demo_2_1_2,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-11-02 08:06:03,final_ranking_survey,"{'perceived_personalization': 7, 'emotional_trust': 7, 'trust_in_competence': 7, 'intention_to_use': 7, 'usefulness': 7, 'overall_satisfaction': 7, 'providing_information': 7}",7,7,7,7,7,7,7
55,demo_3_0_1,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-11-04 12:21:22,final_ranking_survey,"{'perceived_personalization': 5, 'emotional_trust': 6, 'trust_in_competence': 5, 'intention_to_use': 5, 'usefulness': 6, 'overall_satisfaction': 6, 'providing_information': 6}",5,6,5,5,6,6,6
56,demo_2_2_3,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-11-04 17:51:49,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 5, 'trust_in_competence': 7, 'intention_to_use': 5, 'usefulness': 6, 'overall_satisfaction': 6, 'providing_information': 6}",6,5,7,5,6,6,6
57,user_0_0_0,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-11-04 20:00:41,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 6, 'trust_in_competence': 7, 'intention_to_use': 6, 'usefulness': 7, 'overall_satisfaction': 6, 'providing_information': 6}",6,6,7,6,7,6,6
58,user_3_1_4,7eea2bdd-70bb-4430-b87d-32cbe72dd1f0,2024-11-04 21:14:05,final_ranking_survey,"{'perceived_personalization': 4, 'emotional_trust': 2, 'trust_in_competence': 6, 'intention_to_use': 3, 'usefulness': 6, 'overall_satisfaction': 3, 'providing_information': 3}",4,2,6,3,6,3,3
